fcst_date,h1,h2,h3,h4,h5,h6,h7,7day_average,7day_average_observed
2020-06-13,1541.7252809180675,1592.671959697919,1636.738993125042,1689.0197516925045,1735.651563047012,1783.6872402012293,1831.3354929745133,1687.261468808041,1558.4285714285713
2020-06-14,1409.1057525342167,1448.0059918377049,1496.0950445380263,1519.6976129710938,1558.968792783033,1595.5344436802175,1632.9011693322134,1522.9012582395007,1601.142857142857
2020-06-15,1305.8703486055147,1349.9587442086677,1370.3156681018427,1391.7552644864256,1421.5345502022124,1450.3199981444866,1478.0559086899402,1395.4014974912986,1735.142857142857
2020-06-16,1398.1107817285758,1419.8230289645708,1442.3621691350968,1478.1823537266948,1509.2668539634751,1539.9098887466037,1570.2214033535035,1479.696639945503,1863.4285714285713
2020-06-17,1416.210878502939,1438.6483483951072,1474.3860501460329,1505.017389183458,1535.4879593631144,1565.5813945287632,1596.312435624633,1504.520636534864,2042.7142857142858
2020-06-18,1821.568988872962,1868.0846588058444,1907.4599240236537,1985.9696815217576,2034.34592410936,2088.1953583230647,2141.1465688728545,1978.110157789928,2135.285714285714
2020-06-19,2036.6006945936313,2080.7191365004874,2163.0769278002144,2232.594295703138,2294.489642558828,2357.6148143704713,2422.685208488531,2226.825817145043,2253.285714285714
2020-06-20,1796.1727915654606,1870.5215323015536,1933.541335661453,1959.739012539586,2009.2783265434275,2057.1695640965027,2105.4199922142143,1961.691793560314,2362.8571428571427
2020-06-21,1718.4437243401605,1777.1830343218594,1799.9080422109803,1830.3684841280474,1870.9986641858286,1910.0675708408476,1947.3866269721934,1836.3365924285592,2449.714285714286
2020-06-22,2079.3672485910247,2110.5977540680897,2147.9585167337723,2226.499118916567,2279.9960140329463,2335.559091396101,2390.472794366328,2224.3500768721183,2476.714285714286
2020-06-23,2246.7449229018034,2287.937782958915,2369.5872803625502,2440.164473985099,2502.2279892081774,2565.361419254291,2630.473741853014,2434.642515789121,2475.285714285714
2020-06-24,2571.533081175,2661.1648579713296,2738.21789691976,2835.859767116333,2912.5336443806873,2994.767703066844,3076.3579832169644,2827.2049905495596,2478.0
2020-06-25,2685.5250633823707,2763.2637623443306,2861.461893219443,2941.1918720253743,3024.5890249814433,3107.6500241519884,3191.975883741059,2939.3796462637156,2497.714285714286
2020-06-26,2904.9535562850547,3007.1397907178984,3090.105228977484,3191.2780282074036,3281.1041010157355,3373.984316678257,3465.842112395299,3187.772447753876,2491.8571428571427
2020-06-27,2650.9602271870244,2723.900377863135,2816.939884969062,2862.08156862348,2937.955754013821,3008.309624294432,3080.3003116864643,2868.635392662488,2518.8571428571427
2020-06-28,2397.40046573369,2481.250070482893,2518.936191454021,2553.8494387473093,2608.61435374414,2660.8929902840723,2711.2150625577124,2561.736939000548,2554.5714285714284
2020-06-29,2437.1472552321775,2473.592026544261,2507.4981945687778,2556.730205543842,2606.903123893602,2654.5625402389987,2701.5617573466257,2562.570729052612,2597.0
2020-06-30,2349.803094205261,2380.2250097074498,2426.6303244002447,2461.273343469832,2503.022375148009,2542.5479802133796,2582.86034964539,2463.766068112795,2699.4285714285716
2020-07-01,2604.410459944608,2657.125859792528,2696.8881100496933,2766.762252626696,2816.9917405607143,2870.8390442881328,2923.654660898289,2762.3817325943805,2833.285714285714
2020-07-02,2755.7836439265025,2798.3227871859935,2870.44976104239,2933.0563283474157,2991.614113302116,3050.3860781691264,3110.6022333926544,2930.0307064808853,2964.5714285714284
2020-07-03,2861.3782853912444,2935.2800646576725,2999.326491952732,3065.7948833626265,3127.5774747157716,3191.600531823676,3255.319678021922,3062.3253442750924,3039.1428571428573
2020-07-04,2743.477869073982,2802.125693875556,2864.2143196680304,2901.9344307258093,2956.7997651576943,3008.93907840891,3061.6439674880858,2905.5907320568663,3161.8571428571427
2020-07-05,2586.9296855446096,2642.9612498407814,2675.7674022107085,2703.635393446177,2745.500031027379,2785.21271317478,2823.968588558181,2709.1392948289454,3193.0
2020-07-06,2674.815623329563,2708.518371778213,2737.1137513825724,2782.97466872102,2824.208258978944,2864.8873048406726,2904.888107215417,2785.343726606629,3259.714285714286
2020-07-07,2923.506948120274,2958.15355057877,3008.92368982752,3077.12859988632,3128.0724173326994,3181.0529030722482,3234.3819530534415,3073.031437410182,3354.8571428571427
2020-07-08,3439.1060373083524,3503.413410522386,3582.6007760441285,3693.8823264667517,3769.8262062737917,3852.192198949872,3934.787701050351,3682.258379516519,3445.1428571428573
2020-07-09,3661.655082190904,3745.2964313758384,3860.1913992276395,3955.9874348793874,4045.908780633903,4138.057938170756,4232.097396025729,3948.4563517863076,3441.4285714285716
2020-07-10,3537.0428804583307,3646.0761944318856,3737.1168012661014,3800.9117676633573,3883.117721962536,3964.5841158253475,4045.9627180354964,3802.1160285204364,3605.8571428571427
2020-07-11,3583.85007449515,3673.139220315148,3735.5132655278576,3809.912662834787,3888.408029539528,3966.029802716575,4042.2066136412395,3814.151381295755,3573.5714285714284
2020-07-12,3018.068832027114,3062.0047962046983,3121.445790377587,3117.759521433004,3164.1045267277364,3200.7322310785466,3238.908329995317,3131.860575406286,3798.4285714285716
2020-07-13,3119.2045667810607,3180.2555467205975,3177.8754232515143,3231.396406557041,3270.7551516869667,3312.3846196759505,3350.210864649327,3234.583225617494,3929.8571428571427
2020-07-14,3551.87230327088,3559.9519715249344,3621.958750114306,3707.9385506291974,3767.311105772795,3827.573276609964,3889.4608510242197,3703.7238298494713,4172.571428571428
2020-07-15,4043.4733177199037,4119.089634824968,4216.110549804562,4336.143113016164,4419.4913294161925,4510.570938024505,4602.46082442878,4321.048529605011,4393.428571428572
2020-07-16,3831.8062421266654,3920.7410727594847,4034.2135764436334,4081.5207513277287,4158.883824902407,4233.42931342087,4310.435258815201,4081.5757199708564,4749.142857142857
2020-07-17,4405.722650142744,4532.84579299777,4591.227426380424,4729.433700791876,4827.134954517747,4933.421093797226,5035.5201020668765,4722.186531527809,4888.428571428572
2020-07-18,3696.932190103786,3731.785599975394,3850.9039524610457,3843.735946033578,3910.1108391832954,3961.742544183743,4018.9343517086327,3859.1636319499253,5115.714285714285
2020-07-19,4109.249029017958,4238.991737754959,4240.443034118626,4354.172474905299,4423.8264201906295,4503.807139474268,4576.5080047376605,4349.571120028487,5110.142857142857
